model,pr_auc,roc_auc,brier_score,log_loss,expected_calibration_error
Logistic regression,0.5978374141293126,0.6787759650358421,0.22635500264700775,0.6439337693853829,0.08605129118499025
Gradient boosting,0.5935942634778928,0.6703232613366816,0.22205050743938018,0.6367101087292513,0.03967352393289404
Personalized window rule,0.5667756923473738,0.6372277383973106,0.27025531557471666,0.7411456902189164,0.20888754932479792
Fixed 90-day recency rule,0.3981573147294035,0.5015525268660851,0.28164811066933965,0.8022221294125159,0.18254029769337868
