seed,customers,modeling_snapshots,selected_model,pr_auc,roc_auc,brier_score,expected_calibration_error
7,700,5490,Logistic regression,0.5935353231071848,0.6557710448025929,0.2270142512460466,0.036294691879569026
17,700,5501,Logistic regression,0.5876662616506323,0.6564650688898401,0.2229108766380404,0.032870633728045315
27,700,5313,Logistic regression,0.6093679270224799,0.6752212492566725,0.22301058557422312,0.042187364281717155
37,700,5869,Logistic regression,0.6320125612842924,0.6934842550093849,0.2147349846744402,0.04989185926923889
47,700,5664,Logistic regression,0.6047633218447402,0.6964181482516631,0.2143982174187577,0.03909124903311768
